,ID.PLOT,ID.LUS,BIO4,X80.LandUse,X82.Designation,X83.LandTenure,X85.FireOccurrence,X86c.FireAreaM2,X87.FireType,X88.ExpectedFutureTrees,X92.TreeCanopyCoverage,N0,H,Simp,N1,N2,E1,E2,tprec,a.tmin,a.tmax,a.tmean,alt,Pop.pa,HHpop,Province,GEZ,pop.d,S.DistToRoad,Expo,Slope,RELIEF,TEXTURE,DRAINAGE,SOM,FOREST
661,2011421,201142101,10.98398001,110030,99,6,2,2000,2,3,3,8,1.885764281,0.819944598,6.59139019,5.553846154,0.823923774,0.694230769,1015,13.79166667,27.55,20.65,1179,1,256,Central,Tropical moist deciduous forest,4525.481445,23894.57336,106,2,1,3,1,2,1
662,2011422,201142201,3.1245225,110030,99,6,2,5000,2,3,3,3,1.011404265,0.611111111,2.749459274,2.571428571,0.916486425,0.857142857,1015,13.79166667,27.55,20.65,1179,1,256,Central,Tropical moist deciduous forest,4525.481445,23894.57336,60,2,1,3,1,2,1
663,2011423,201142301,46.2951656,110030,99,6,2,5000,2,3,3,14,2.448045848,0.896235078,11.56572345,9.637168142,0.826123103,0.688369153,1015,13.79166667,27.55,20.65,1179,1,256,Central,Tropical moist deciduous forest,4525.481445,23894.57336,90,1,1,3,1,2,1
664,2011424,201142401,64.9977411,110030,90,6,1,0,0,3,3,16,2.281967581,0.8576,9.795935759,7.02247191,0.612245985,0.438904494,1015,13.79166667,27.55,20.65,1179,1,256,Central,Tropical moist deciduous forest,4525.481445,23894.57336,90,2,1,3,1,0,1
665,2011431,201143101,0,110030,99,1,2,5000,2,2,3,0,0,0,0,0,0,0,1019,13.85833333,27.41666667,20.61666667,1172,0,0,Central,Tropical moist deciduous forest,13744.97852,10208.60831,315,2,1,3,0,1,1
667,2011433,201143301,0,110030,99,1,2,5000,2,2,3,0,0,0,0,0,0,0,1019,13.85833333,27.41666667,20.61666667,1172,0,0,Central,Tropical moist deciduous forest,13744.97852,10208.60831,NA,NA,NA,NA,NA,NA,1
680,2011452,201145201,85.4021091,110030,7,1,2,5000,2,1,5,14,1.882034033,0.7596,6.566848476,4.159733777,0.469060605,0.297123841,992,13.43333333,26.725,20.05833333,1194,1,306,Central,Tropical moist deciduous forest,11054.75098,9833.969454,161,2,1,2,0,0,1
686,2011462,201146201,28.37624556,110030,7,6,3,5000,2,2,4,16,2.405022235,0.884066587,11.07867662,8.625641026,0.692417289,0.539102564,972,12.84166667,25.725,19.26666667,1269,0,0,Central,Tropical moist deciduous forest,9767.673828,34.89109045,230,1,1,2,0,0,1
691,2011471,201147101,80.80107298,110030,7,6,3,5000,2,3,5,16,2.340754343,0.87220867,10.38907053,7.825256975,0.649316908,0.489078561,961,13.3,25.98333333,19.60833333,1200,0,0,Central,Tropical dry forest,8645.832031,11875.16417,231,12,2,3,0,0,1
692,2011472,201147201,76.60430586,110030,7,6,3,5000,2,3,5,15,2.291240499,0.8684375,9.887195137,7.600950119,0.659146342,0.506730008,961,13.3,25.98333333,19.60833333,1200,0,0,Central,Tropical dry forest,8645.832031,11875.16417,245,30,2,3,0,0,1
693,2011473,201147301,127.8231425,110030,7,6,3,5000,2,3,5,18,2.170504522,0.832,8.762703904,5.952380952,0.486816884,0.330687831,961,13.3,25.98333333,19.60833333,1200,0,0,Central,Tropical dry forest,8645.832031,11875.16417,248,20,2,3,0,0,1
